RefDes     X          Y          Rot.       Exact     (FREE)    Side
J104       6705.0000  6345.0000  000        EXACT     (FREE)    Top                           
J151       6175.0000  8325.0000  000        EXACT     (FREE)    Top                           
J212       935.0000   10385.0000 000        EXACT     (FREE)    Top                           
J213       2725.0000  8385.0000  000        EXACT     (FREE)    Top                           
J214       1055.0000  8965.0000  000        EXACT     (FREE)    Top                           
J351       5805.0000  12405.0000 000        EXACT     (FREE)    Top                           
J352       7215.0000  11385.0000 000        EXACT     (FREE)    Top                           
J500       3445.0000  10975.0000 000        EXACT     (FREE)    Top                           
J501       3155.0000  10335.0000 000        EXACT     (FREE)    Top                           
J502       3155.0000  10235.0000 000        EXACT     (FREE)    Top                           
J850       5715.0000  1285.0000  000        EXACT     (FREE)    Top                           
J852       4575.0000  2835.0000  000        EXACT     (FREE)    Top                           
J975       315.0000   6875.0000  000        EXACT     (FREE)    Top                           
L500       3675.0000  10705.0000 000        EXACT     (FREE)    Top                           
MT1        335.0000   1865.0000  000        EXACT     (FREE)    Top                           
MT2        4775.0000  1865.0000  000        EXACT     (FREE)    Top                           
MT3        9375.0000  1865.0000  000        EXACT     (FREE)    Top                           
MT4        335.0000   7605.0000  000        EXACT     (FREE)    Top                           
MT5        4775.0000  7605.0000  000        EXACT     (FREE)    Top                           
MT6        9375.0000  7605.0000  000        EXACT     (FREE)    Top                           
MT7        325.0000   13225.0000 000        EXACT     (FREE)    Top                           
MT8        4775.0000  13225.0000 000        EXACT     (FREE)    Top                           
MT9        9375.0000  13225.0000 000        EXACT     (FREE)    Top                           
Q300       6695.0000  12905.0000 000        EXACT     (FREE)    Top                           
Q400       555.0000   12745.0000 000        EXACT     (FREE)    Top                           
Q430       635.0000   11925.0000 000        EXACT     (FREE)    Top                           
Q440       715.0000   12745.0000 000        EXACT     (FREE)    Top                           
Q901       5595.0000  6615.0000  000        EXACT     (FREE)    Top                           
R1         9345.0000  6485.0000  000        EXACT     (FREE)    Top                           
R2         9325.0000  6585.0000  180        EXACT     (FREE)    Bottom                        
R3         9325.0000  6685.0000  180        EXACT     (FREE)    Bottom                        
R4         9325.0000  6785.0000  180        EXACT     (FREE)    Bottom                        
R5         9325.0000  6885.0000  180        EXACT     (FREE)    Bottom                        
R6         9325.0000  6985.0000  180        EXACT     (FREE)    Bottom                        
R7         9325.0000  7085.0000  180        EXACT     (FREE)    Bottom                        
R8         9325.0000  7185.0000  180        EXACT     (FREE)    Bottom                        
R9         9345.0000  6385.0000  000        EXACT     (FREE)    Top                           
R10        9345.0000  6285.0000  000        EXACT     (FREE)    Top                           
R11        9345.0000  6185.0000  000        EXACT     (FREE)    Top                           
R12        9345.0000  6085.0000  000        EXACT     (FREE)    Top                           
R13        9345.0000  5985.0000  000        EXACT     (FREE)    Top                           
R14        9345.0000  5885.0000  000        EXACT     (FREE)    Top                           
R15        9325.0000  5785.0000  180        EXACT     (FREE)    Bottom                        
R16        9325.0000  5685.0000  180        EXACT     (FREE)    Bottom                        
R17        9345.0000  6585.0000  000        EXACT     (FREE)    Top                           
R18        9345.0000  6685.0000  000        EXACT     (FREE)    Top                           
R19        9345.0000  6785.0000  000        EXACT     (FREE)    Top                           
R20        9345.0000  6885.0000  000        EXACT     (FREE)    Top                           
R21        9345.0000  6985.0000  000        EXACT     (FREE)    Top                           
R22        9345.0000  7085.0000  000        EXACT     (FREE)    Top                           
R23        9345.0000  7185.0000  000        EXACT     (FREE)    Top                           
R24        9325.0000  7285.0000  180        EXACT     (FREE)    Bottom                        
R25        9325.0000  6485.0000  180        EXACT     (FREE)    Bottom                        
R26        9325.0000  6385.0000  180        EXACT     (FREE)    Bottom                        
R27        9325.0000  6285.0000  180        EXACT     (FREE)    Bottom                        
R28        9325.0000  6185.0000  180        EXACT     (FREE)    Bottom                        
R29        9325.0000  6085.0000  180        EXACT     (FREE)    Bottom                        
R30        9325.0000  5985.0000  180        EXACT     (FREE)    Bottom                        
R31        9325.0000  5885.0000  180        EXACT     (FREE)    Bottom                        
R32        9345.0000  5685.0000  000        EXACT     (FREE)    Top                           
R33        9325.0000  3045.0000  180        EXACT     (FREE)    Bottom                        
R34        9325.0000  3145.0000  180        EXACT     (FREE)    Bottom                        
R35        9325.0000  3245.0000  180        EXACT     (FREE)    Bottom                        
R36        9325.0000  3345.0000  180        EXACT     (FREE)    Bottom                        
R37        9325.0000  3445.0000  180        EXACT     (FREE)    Bottom                        
